alias,canonico
(LH) VALENCIA,(Lh) Valencia
0FIC. DTT0. EL VIGIA,0Fic. Dtt0. El Vigia
19 DE ABRIL,19 De Abril
19 DE ABRIL CABIMAS,19 De Abril Cabimas
A NIVEL NCIONAL,A Nivel Ncional
ACARIGUA,Acarigua
ADICORA,Adicora
ALCALDIA BOLIVARIANA DEL ORINICO,Alcaldia Bolivariana Del Orinico
ALCALDIA DE ARISMENDI,Alcaldia De Arismendi
ALCALDIA DE CORDOBA,Alcaldia De Cordoba
ALCALDIA DE SAN CRISTOBAL,Alcaldia De San Cristobal
ALCALDIA DE SAN LUIS,Alcaldia De San Luis
ALFAMAT,Alfamat
ALGIMIRO GABALDON,Algimiro Gabaldon
ALMACEN,Almacen
ALMACEN (PLANTA CENTRO),Almacen (Planta Centro)
ALMACEN CARABOBO,Almacen Carabobo
ALMACEN CHACAO,Almacen Chacao
ALMACEN DARA,Almacen Dara
ALMACEN DE CHATARRA,Almacen De Chatarra
ALMACEN EL BOSQUE,Almacen El Bosque
ALMACEN GT II,Almacen Gt Ii
ALMACEN LA YAGUARA,Almacen La Yaguara
ALMACEN LOS GUAYOS,Almacen Los Guayos
ALMACEN LOS MONTONES,Almacen Los Montones
ALMACEN MICHELENA,Almacen Michelena
ALMACEN NODAL ACARIGUA (DPOA),Almacen Nodal Acarigua (Dpoa)
ALMACEN SECUNDARIO,Almacen Secundario
ALMACEN TACHIRA,Almacen Tachira
ALTAGRACIA DE ORITUCO,Altagracia De Orituco
ALUMBRADO PUBLICO,Alumbrado Publico
"AMBIENTE, SEGURIDAD E HIGIENE OCUPACIONAL","Ambiente, Seguridad E Higiene Ocupacional"
ANACO,Anaco
ANTIGUA SEDE ELEBOL,Antigua Sede Elebol
ANZOATEGUI,Anzoategui
APURE,Apure
ARACOY,Aracoy
ARAGUA,Aragua
ARENOSA 765,Arenosa 765
ASAMBLEA NACIONAL,Asamblea Nacional
ASHO,Asho
ASHO PLANTA PEÑA LARGA,Asho Planta Peña Larga
ASISTENCIA TECNICA,Asistencia Tecnica
ATENCION ESPECIALIZADA SAN FERNANDO,Atencion Especializada San Fernando
AUDITORIA INTERNA,Auditoria Interna
AV BOLIVAR LAGUNILLAS FRENTE A LA PLAZA BOLIVAR,Av Bolivar Lagunillas Frente A La Plaza Bolivar
AV. BOLIVAR LAGUNILLAS FRENTE A LA PLAZA BOLIVAR,Av. Bolivar Lagunillas Frente A La Plaza Bolivar
AVERIAS ELORZA,Averias Elorza
Almacen DARA,Almacen Dara
BARALT,Baralt
BARBACOA I,Barbacoa I
BARINAS,Barinas
BCEI CARUACHI,Bcei Caruachi
BEJUMA - MONTALBAN - MIRANDA,Bejuma - Montalban - Miranda
BETIJOQUE,Betijoque
BIRUACA,Biruaca
BOCONO,Bocono
BOLIVAR,Bolivar
BOLIVAR-UREÑA,Bolivar-Ureña
BUENA VISTA,Buena Vista
Belenzate calle la matica,Belenzate Calle La Matica
C. CUMANA,C. Cumana
C.A. CUMANA,C.A. Cumana
C.A.R,C.A.R
C.S. SAN FERNANDO,C.S. San Fernando
C.S/CHACAO,C.S/Chacao
C/S BARBECH0,C/S Barbech0
C/S CAÑO ZANCUDO,C/S Caño Zancudo
C/S CHACAO,C/S Chacao
C/S CHACAO ALMACEN,C/S Chacao Almacen
C/S CHARALLAVE,C/S Charallave
C/S EL BARBECHO,C/S El Barbecho
C/S GUANAPE,C/S Guanape
C/S GUARENAS GUATIRE,C/S Guarenas Guatire
C/S HIGUEROTE,C/S Higuerote
