alias,canonico
AMAZONAS,AMAZONAS
ANZOATEGUI,ANZOATEGUI
APURE,APURE
ARAGUA,ARAGUA
BARINAS,BARINAS
BOLIVAR,BOLIVAR
CAPITAL,DISTRITO CAPITAL
CARABOBO,CARABOBO
COJEDES,COJEDES
DELTA AMACURO,DELTA AMACURO
DISTRITO CAPITAL,DISTRITO CAPITAL
FALCON,FALCON
GUARICO,GUARICO
LA GUAIRA,VARGAS
LARA,LARA
MERIDA,MERIDA
MIRANDA,MIRANDA
MONAGAS,MONAGAS
NUEVA ESPARTA,NUEVA ESPARTA
PORTUGUESA,PORTUGUESA
SUCRE,SUCRE
TACHIRA,TACHIRA
TRUJILLO,TRUJILLO
VARGAS,VARGAS
YARACUY,YARACUY
ZULIA,ZULIA
