alias,canonico
(CIAU BETIJOQUE),(CIAU BETIJOQUE)
0PERATIVA C0MERCIAL,0PERATIVA C0MERCIAL
1x10 GOBIERNO,1x10 GOBIERNO
A. CUMANA,A. CUMANA
A.S.H.O.,A.S.H.O.
A.S.H.O. (PLANTA CENTRO),A.S.H.O. (PLANTA CENTRO)
A.T.I.T MIRANDA,A.T.I.T MIRANDA
ADECUACION,ADECUACION
ADMINISTRADORA SERDECO,ADMINISTRADORA SERDECO
ALAMACEN,ALAMACEN
ALAMCEN,ALAMCEN
ALCALDIA BOLIVARIANA DEL ORINOCO,ALCALDIA BOLIVARIANA DEL ORINOCO
ALCALDIA DE ARISMENDI,ALCALDIA DE ARISMENDI
ALCALDIA DE CORDOBA,ALCALDIA DE CORDOBA
ALCALDIA DE SAN LUIS,ALCALDIA DE SAN LUIS
ALCALDIA SAN CRISTOBAL,ALCALDIA SAN CRISTOBAL
ALMACEN,ALMACEN
ALMACEN (PLANTA CENTRO),ALMACEN (PLANTA CENTRO)
ALMACEN C/S CHACAO,ALMACEN C/S CHACAO
ALMACEN CENTRO DE SERVICIO CHACAO,ALMACEN CENTRO DE SERVICIO CHACAO
ALMACEN CS CHACAO,ALMACEN CS CHACAO
ALMACEN DISTRIBUCION ARAGUA,ALMACEN DISTRIBUCION ARAGUA
ALMACEN EL BOSQUE,ALMACEN EL BOSQUE
ALMACEN EL SOMBRERO,ALMACEN EL SOMBRERO
ALMACEN GT II,ALMACEN GT II
ALMACEN LCA,ALMACEN LCA
ALMACEN LOS GUAYOS,ALMACEN LOS GUAYOS
ALMACEN MICHELENA,ALMACEN MICHELENA
ALMACEN PUERTO AYACUCHO,ALMACEN PUERTO AYACUCHO
ALMACEN SAN GERONIMO,ALMACEN SAN GERONIMO
ALMACEN SUCRE,ALMACEN SUCRE
ALMACEN TACHIRA,ALMACEN TACHIRA
ALMACÉN,ALMACÉN
ALUMBRAD0 PUBLIC0,ALUMBRAD0 PUBLIC0
ALUMBRADO,ALUMBRADO
ALUMBRADO PUBLICO,ALUMBRADO PUBLICO
"AMBIENTE, SEGURIDAD E HIGIENE OCUPACIONAL","AMBIENTE, SEGURIDAD E HIGIENE OCUPACIONAL"
APOYO,APOYO
ARACOI,ARACOI
ARACOY,ARACOY
ARRENDAMIENTOS DE LOCALES COMERCIALES S.A. (ARACOI),ARRENDAMIENTOS DE LOCALES COMERCIALES S.A. (ARACOI)
ASAMBLEA NACIONAL,ASAMBLEA NACIONAL
ASEGURAMIENTO INGRESO,ASEGURAMIENTO INGRESO
ASH0,ASH0
ASHO,ASHO
ASHO ARAGUA,ASHO ARAGUA
ASISATENCIA TECNICA,ASISATENCIA TECNICA
ASISTENCIA TECNICA,ASISTENCIA TECNICA
ASISTENCIA TECNICA (UNECUBA),ASISTENCIA TECNICA (UNECUBA)
ASISTENCIA TECNICA UNECUBA,ASISTENCIA TECNICA UNECUBA
ASISTENCIA TECNICA UNECUBA REGION GUAYANA,ASISTENCIA TECNICA UNECUBA REGION GUAYANA
ASOELEC,ASOELEC
ATENCION AL CIUDADANO,ATENCION AL CIUDADANO
ATENCION AL PUBLICO COMERCIAL SAN JUAN,ATENCION AL PUBLICO COMERCIAL SAN JUAN
ATENCION AL PUBLICO Y OPERATIVA COMERCIAL ALTAGRACIA,ATENCION AL PUBLICO Y OPERATIVA COMERCIAL ALTAGRACIA
ATENCION AL PUBLICO Y OPERATIVA COMERCIAL CALABOZO,ATENCION AL PUBLICO Y OPERATIVA COMERCIAL CALABOZO
ATENCION AL PUBLICO Y OPERATIVA COMERCIAL CAMAGUAN,ATENCION AL PUBLICO Y OPERATIVA COMERCIAL CAMAGUAN
ATENCION AL PUBLICO Y OPERATIVA COMERCIAL EL SOMBRERO,ATENCION AL PUBLICO Y OPERATIVA COMERCIAL EL SOMBRERO
ATENCION AL PUBLICO Y OPERATIVA COMERCIAL GUIRIA,ATENCION AL PUBLICO Y OPERATIVA COMERCIAL GUIRIA
ATENCION AL PUBLICO Y OPERATIVA COMERCIAL LA PASCUA,ATENCION AL PUBLICO Y OPERATIVA COMERCIAL LA PASCUA
ATENCION AL PUBLICO Y OPERATIVA COMERCIAL LAS CARIACO-CASANAI,ATENCION AL PUBLICO Y OPERATIVA COMERCIAL LAS CARIACO-CASANAI
ATENCION AL PUBLICO Y OPERATIVA COMERCIAL LAS CUMANA,ATENCION AL PUBLICO Y OPERATIVA COMERCIAL LAS CUMANA
ATENCION AL PUBLICO Y OPERATIVA COMERCIAL LAS MERCEDES,ATENCION AL PUBLICO Y OPERATIVA COMERCIAL LAS MERCEDES
ATENCION AL PUBLICO Y OPERATIVA COMERCIAL SAN JUAN,ATENCION AL PUBLICO Y OPERATIVA COMERCIAL SAN JUAN
ATENCION AL PUBLICO Y OPERATIVA COMERCIAL TUCUPIDO,ATENCION AL PUBLICO Y OPERATIVA COMERCIAL TUCUPIDO
ATENCION AL PUBLICO Y OPERATIVA COMERCIAL ZARAZA,ATENCION AL PUBLICO Y OPERATIVA COMERCIAL ZARAZA
ATENCION DE AVERIAS Y RECLAMOS,ATENCION DE AVERIAS Y RECLAMOS
ATENCION OPERATIVA COMERCIAL CAMAGUAN,ATENCION OPERATIVA COMERCIAL CAMAGUAN
ATENCIÓN AL USUARIO,ATENCIÓN AL USUARIO
ATIT,ATIT
ATIT (PLANTA CENTRO),ATIT (PLANTA CENTRO)
AUDITORIA INTERNA,AUDITORIA INTERNA
AUTOMATIZACION,AUTOMATIZACION
AUTOMATIZACION  DE LA INFORMACION Y TECNOLOGIA,AUTOMATIZACION  DE LA INFORMACION Y TECNOLOGIA
AUTOMATIZACION DE LA INFORMACION Y TECNOLOGIA,AUTOMATIZACION DE LA INFORMACION Y TECNOLOGIA
AUTOMATIZACIÓN,AUTOMATIZACIÓN
AVERIA,AVERIA
AVERIA Y RECLAMOS,AVERIA Y RECLAMOS
AVERIAS,AVERIAS
AVERIAS COJEDITOS,AVERIAS COJEDITOS
AVERIAS EL BAUL,AVERIAS EL BAUL
AVERIAS EL PAO,AVERIAS EL PAO
AVERIAS RECLAMOS REGION ESTE,AVERIAS RECLAMOS REGION ESTE
AVERIAS SAN CARLOS,AVERIAS SAN CARLOS
AVERIAS TINACO,AVERIAS TINACO
AVERIAS TINAQUILLO,AVERIAS TINAQUILLO
AVERIAS Y RECLAMOS,AVERIAS Y RECLAMOS
AVERIAS Y RECLAMOS REGION ESTE,AVERIAS Y RECLAMOS REGION ESTE
AVERIAS Y RECLAMOS REGION ESTEA,AVERIAS Y RECLAMOS REGION ESTEA
AVERÍAS,AVERÍAS
AVERÍAS COJEDITOS,AVERÍAS COJEDITOS
AVERÍAS Y RECLAMOS,AVERÍAS Y RECLAMOS
Almacén,Almacén
Aracoi,Aracoi
Asho,Asho
B.C.E.I SUCRE,B.C.E.I SUCRE
BARBECHO,BARBECHO
BCEI,BCEI
BCI,BCI
BIENES  Y SERVICOS,BIENES  Y SERVICOS
BIENES PATRIMONIALES PyP,BIENES PATRIMONIALES PyP
BIENES Y SERVCIOS,BIENES Y SERVCIOS
BIENES Y SERVICI0S,BIENES Y SERVICI0S
BIENES Y SERVICIOS,BIENES Y SERVICIOS
BIENES Y SERVICIOS (PLANTA CENTRO),BIENES Y SERVICIOS (PLANTA CENTRO)
BIENES Y SERVICIOS (VALENCIA),BIENES Y SERVICIOS (VALENCIA)
BIENES Y SERVICIOS CAPITAL,BIENES Y SERVICIOS CAPITAL
BIENES Y SERVICIOS DEVOLUCION POR PARTE DE EDC. FALLA MAYOR MOTOR,BIENES Y SERVICIOS DEVOLUCION POR PARTE DE EDC. FALLA MAYOR MOTOR
BIENES Y SERVICIOS VUELTOSA,BIENES Y SERVICIOS VUELTOSA
BIENES Y SERVICOS,BIENES Y SERVICOS
BIENES Y SERVIOS,BIENES Y SERVIOS
BOMBEROS,BOMBEROS
BRIGADA CONTROL DE EMERGENCIAS INDUSTRIALES DEL S.E.N,BRIGADA CONTROL DE EMERGENCIAS INDUSTRIALES DEL S.E.N
BRIGADA CONTROL DE EMERGENCIAS INDUSTRIALES DEL S.E.N CAUCAGUA,BRIGADA CONTROL DE EMERGENCIAS INDUSTRIALES DEL S.E.N CAUCAGUA
BRIGADA CONTROL DE EMERGENCIAS INDUSTRIALES DEL S.E.N VALLES DEL TUY,BRIGADA CONTROL DE EMERGENCIAS INDUSTRIALES DEL S.E.N VALLES DEL TUY
BRIGADA DE CONTROL DE EMERNCIA INDUSTRIAL,BRIGADA DE CONTROL DE EMERNCIA INDUSTRIAL
BRIGADA DE CONTROL DE INCENDIOS,BRIGADA DE CONTROL DE INCENDIOS
BRIGADA DE EMERGENCIA,BRIGADA DE EMERGENCIA
C.A.R,C.A.R
C.E.D,C.E.D
C.O.D.,C.O.D.
C.S.B CUMANA,C.S.B CUMANA
C.S.B. CARUPANO,C.S.B. CARUPANO
C.S.C. CARIACO,C.S.C. CARIACO
C/S GIRARDOT,C/S GIRARDOT
C/S GUARENAS GUATIRE,C/S GUARENAS GUATIRE
C/S LIBERTADOR,C/S LIBERTADOR
C/S RIBAS,C/S RIBAS
C/S SANTA TERESA,C/S SANTA TERESA
C/S SUCRE,C/S SUCRE
C/S URDANETA,C/S URDANETA
C0MERCIALIZACI0N,C0MERCIALIZACI0N
C0MERCIALIZACIÓN,C0MERCIALIZACIÓN
C0NSTRUCCI0N Y PR0YECT0,C0NSTRUCCI0N Y PR0YECT0
CARACHE,CARACHE
CED,CED
CENTR0 DE SERVICI0 GIRARD0T,CENTR0 DE SERVICI0 GIRARD0T
CENTR0 DE SERVICI0 RIBAS,CENTR0 DE SERVICI0 RIBAS
CENTR0 DE SERVICI0 SUCRE,CENTR0 DE SERVICI0 SUCRE
CENTR0 DE SERVICI0 URDANETA,CENTR0 DE SERVICI0 URDANETA
CENTRAL HIDROELECTRICA FABRICIO OJEDA,CENTRAL HIDROELECTRICA FABRICIO OJEDA
