alias,canonico
ALLIS CHARMERS,ALLIS-CHALMERS
ALLIS-CHALMERS,ALLIS-CHALMERS
ANDINO,ANDINO
ARGEVEN,ARGEVEN
BAW,BAW
BERETTA,BERETTA
BUSSCAR,BUSSCAR
CARIBE,CARIBE
CATERPILLAR,CATERPILLAR
CHAMA,CHAMA
CHERY,CHERY
CHEVROLET,CHEVROLET
CHEVY,CHEVROLET
CHL,CHL
CLARK,CLARK
D INNOCENZO,D'INNOCENZO
DAEWOO,DAEWOO
DAYUN,DAYUN
DFSK,DFSK
DODGE,DODGE
DOLL,DOLL
DOMOSA,DOMOSA
DONGFENG,DONGFENG
DOOSAN,DOOSAN
DSFK,DFSK
EMPIRE KEEWAY,EMPIRE KEEWAY
ENCAVA,ENCAVA
ESCUDA,ESCUDA
FARRENACA,FARRENACA
FAVEMO,FAVEMO
FIAT,FIAT
FLATBED,SIN MARCA
FORD,FORD
FORZA,FORZA
FOTON,FOTON
FREELANDER,FREELANDER
FRUGET,FRUGET
FUWA,FUWA
GENERAL MOTOR,CHEVROLET
GENIE,GENIE
GENIE BOOM,GENIE
GOLDEN DRAGON,GOLDEN DRAGON
GROVE,GROVE
HAOJUE,HAOJUE
HAWECA,HAWECA
HELI,HELI
HIGER,HIGER
HINO,HINO
HLI,HLI
HONDA,HONDA
HYSTER,HYSTER
HYUNDAI,HYUNDAI
IKCO,IKCO
INTERNATIONAL,INTERNATIONAL
ISUZU,ISUZU
IVECO,IVECO
JAC,JAC
JEEP,JEEP
JLG,JLG
JMC,JMC
JOHN DEERE,JOHN DEERE
KAWASAKI,KAWASAKI
KENWORTH,KENWORTH
KENWORTH TRUCK CO.,KENWORTH
KIA,KIA
KING,KING
KOMATSU,KOMATSU
KTM,KTM
LAVAL,LAVAL
LIEBHERR,LIEBHERR
LINK BELT,LINK-BELT
LINK-BELT,LINK-BELT
MACK,MACK
MAN,MAN
MAXIMALL,MAXIMALL
MAZDA,MAZDA
MERCEDES BENZ,MERCEDES-BENZ
MERCEDES-BENZ,MERCEDES-BENZ
MITSUBISHI,MITSUBISHI
NEW HOLLAND,NEW HOLLAND
NEW HOLLANDO,NEW HOLLAND
NIFTY,NIFTY
NISSAN,NISSAN
ORINOCO,ORINOCO
P&H,P&H
PEGASO,PEGASO
PEUGEOT,PEUGEOT
POWER SPORT,POWER SPORT
RALY,RELY
RANDON,RANDON
RELY,RELY
REMOLQUE,SIN MARCA
REMYVECA,REMYVECA
RENAULT,RENAULT
REWARD,REWARD
REYCO,REYCO
ROCKFORD,ROCKFORD
SAIPA,SAIPA
SAN CRISTOBAL,SAN CRISTOBAL
SCANIA,SCANIA
SIN MARCA,SIN MARCA
SINOTRUCK,SINOTRUK
SINOTRUK,SINOTRUK
SUZUKI,SUZUKI
SWING ENERGY,SWING ENERGY
TADANO,TADANO
TCM,TCM
TEKKEN,TEKKEN
TEREX,TEREX
TOYOTA,TOYOTA
TRAIMOVILE,TRAIMOVILE
TUPAMET,TUPAMET
VENEZUELA,VENEZUELA
VENIRAN,VENIRAN
VOLKSWAGEN,VOLKSWAGEN
XCMG,XCMG
YALE,YALE
YAMAHA,YAMAHA
YUTONG,YUTONG
ZOOMLION,ZOOMLION
