alias,canonico
"02-3FG33,","02-3FG33,"
02.7FD45,02.7FD45
027FD45,027FD45
0400RSE,0400RSE
1.7E+24,1.7E+24
10 TON,10 TON
131,131
132,132
140,140
141,141
150 cc,150 cc
150CC,150CC
170E22 TECTOR,170E22 TECTOR
17220,17220
2 EJES,2 EJES
200,200
200CC,200CC
2400 PICK UP,2400 PICK UP
250,250
3 EJES,3 EJES
300,300
300(816),300 (816)
300-616,300 (616)
300-816,300 (816)
328FG25V4,328FG25V4
35V370,35V370
3700,3700
399 4WD,399 4WD
3994WD,3994WD
3MB CABINA. CAMION 350,3MB CABINA. CAMION 350
3RE24.110,3RE24.110
4 RUNNER LTD V6,4 RUNNER LTD V6
40-12,40-12
400 4WD,400 4WD
413 SPRINTER,413 SPRINTER
420HP 6X4,420HP 6X4
4300,4300
4300 SBA,4300 SBA
4300 SBA 4X2,4300 SBA 4X2
4300 SBA4X2,4300 SBA4X2
4300/SBA,4300/SBA
4300SBA 4X2,4300SBA 4X2
4400 SBA,4400 SBA
4900,4900
4900 4x2,4900 4x2
4RUNNER,4Runner
4SW,4SW
5021XXY6ZB4,5021XXY6ZB4
56001 6X4 PAYSTAR,56001 6X4 PAYSTAR
615,300 (615)
616,300 (616)
62-8FD25,62-8FD25
62-8FD30,62-8FD30
628FD30,628FD30
640LC-4,640LC-4
644E,644E
6603 MFWD,6603 MFWD
6605 CABINADO,6605 CABINADO
7000,7000
70C 15 H,70C 15 H
711,711
7400 DT 466,7400 DT 466
7400 SBA,7400 SBA
7400 SBA 6X4,7400 SBA 6X4
7400 SBA 6X4 WORK STAR,7400 SBA 6X4 WORK STAR
7400SBA 6*4 WORD STAR,7400SBA 6*4 WORD STAR
810 CJ-WRANGLER TECHO DURO,810 CJ-WRANGLER TECHO DURO
816,300 (816)
816-300,300 (816)
88-G35,88-G35
8FD,8FD
8FD 15000LBS,8FD 15000LBS
8FD 3000 LBS,8FD 3000 LBS
8FD50N,8FD50N
8FD80N,8FD80N
8FD80U,8FD80U
8FG25,8FG25
ALMERA,ALMERA
ALMERA PE T/A,ALMERA PE T/A
AMBULANCIA,AMBULANCIA
ANGR13,ANGR13
ARAUCA,ARAUCA
ASTRO,Astro
AT 4000 TGM 18.280,AT 4000 TGM 18.280
AUMAN,AUMAN
AUMAN ETX 2527,AUMAN ETX 2527
AUTANA,AUTANA
AUTOBUS,AUTOBUS
AUTOBUS SUPER DUTTY,AUTOBUS SUPER DUTTY
AVANZA,Avanza
AVEO,Aveo
AVILA 4X2 S/C,AVILA 4X2 S/C
AVILA 4X4 D/C,AVILA 4X4 D/C
B2600,B2600
BARANDA,BARANDA
BARANDAS,BARANDAS
BARRANDA,BARRANDA
BATALLA CORTA,Land Cruiser
BATEA,BATEA
BATEA PLATAFORMA,BATEA PLATAFORMA
BJ4259SFKB-AJ,BJ4259SFKB-AJ
BLAZER,Blazer
BRONCO,BRONCO
BT-50,BT-50
BT-50 4X4,BT-50 4X4
BT50,BT50
BUS,BUS
BUS STAR,BUS STAR
BUS ZK6729D2,BUS ZK6729D2
Buick,Buick
C-10,C-10
C-150,C-150
C-1500,C-1500
C-30,C-30
C-31,C-31
C-3500,C-3500
C-3500 CHASSIS CAB UT,C-3500 CHASSIS CAB UT
C-3500 ESCALERA,C-3500 ESCALERA
C-3500 PLATAFORMA,C-3500 PLATAFORMA
C-3500 UNICESTA,C-3500 UNICESTA
C-60,C-60
C-60 PERFORADOR,C-60 PERFORADOR
C-60-D-J3,C-60-D-J3
C-600 GRUA,C-600 GRUA
C-70,C-70
C30,C30
C35,C35
CABINA,CABINA
CABINA Y CHASSIS,CABINA Y CHASSIS
CAJON,CAJON
CAJON DOS AGUAS,CAJON DOS AGUAS
CAJON GAVETERO,CAJON GAVETERO
CAJON PLANO,CAJON PLANO
CAMARO,Camaro
CAMI0N,CAMI0N
CAMION,CAMION
CAMION 24 MTS DOBLE CESTA,CAMION 24 MTS DOBLE CESTA
CAMION 7000,CAMION 7000
CAMION CESTA,CAMION CESTA
CAMION CF500,CAMION CF500
CAMION CISTERNA,CAMION CISTERNA
CAMION DAILY 70 C15,CAMION DAILY 70 C15
CAMION DINA,CAMION DINA
CAMION DOBLE CESTA,CAMION DOBLE CESTA
CAMION ESTACA,CAMION ESTACA
CAMION F4000,CAMION F4000
CAMION GRUA CESTA,CAMION GRUA CESTA
CAMION KODIA,CAMION KODIA
CAMION PLATAFORMA,CAMION PLATAFORMA
CAMIONETA,CAMIONETA
CAMIONETA DOBLE CABINA,CAMIONETA DOBLE CABINA
CAMIONETA PICK-UP,CAMIONETA PICK-UP
CAMRY,Camry
CANINA,CANINA
CANTER,CANTER
CANTER 649-D,CANTER 649-D
CANTER 649D,CANTER 649D
CANTER CABINA,CANTER CABINA
CANTER CHASIS,CANTER CHASIS
CANTER FE 649 D,CANTER FE 649 D
CANTER PLATAFORMA,CANTER PLATAFORMA
CAPRICE,Caprice
CAPTAIN,Captain
CARGA,CARGA
CARGA CON PROPULSION,CARGA CON PROPULSION
CARGO,Cargo
CARGO 120E21,CARGO 120E21
CARGO 1317,CARGO 1317
CARGO 1317 DOBLE CESTA,CARGO 1317 DOBLE CESTA
CARGO 1317E,CARGO 1317E
CARGO 1517,CARGO 1517
