alias,canonico
AMBULANCIA,AMBULANCIA
AULA MOVIL,AULA MOVIL
AUTOBUS (32 O MAS PUESTOS),AUTOBUS (32 O MAS PUESTOS)
BATEA,BATEA
CAMION BOMBERO,CAMION BOMBERO
CAMION CAVA (TIPO 350),CAMION CAVA (TIPO 350)
CAMION CHASIS (TIPO 350),CAMION CHASIS (TIPO 350)
CAMION CUADRILLERO,CAMION CUADRILLERO
CAMION ESCALERA,CAMION ESCALERA
CAMION FURGON (TIPO 350),CAMION FURGON (TIPO 350)
CAMION METECABLE,CAMION METECABLE
CAMION PLATAFORMA (TIPO 350),CAMION PLATAFORMA (TIPO 350)
CAMION PLATAFORMA (TIPO 7000),CAMION PLATAFORMA (TIPO 7000)
CAMION PLATAFORMA (TIPO 750),CAMION PLATAFORMA (TIPO 750)
CAMION VOLTEO,CAMION VOLTEO
CAMIONETA (CON CABINA),CAMIONETA (CON CABINA)
CHUTO,CHUTO
CISTERNA DE ACEITE,CISTERNA DE ACEITE
CISTERNA DE AGUA,CISTERNA DE AGUA
CISTERNA DE AGUA (SOLO REMOLQUE),CISTERNA DE AGUA (SOLO REMOLQUE)
CISTERNA DE COMBUSTIBLE 10000 LITROS,CISTERNA DE COMBUSTIBLE 10000 LITROS
CISTERNA SODA CAUSTICA,CISTERNA SODA CAUSTICA
COMPACTADOR DE DESECHOS SOLIDOS,COMPACTADOR DE DESECHOS SOLIDOS
DOBLE CESTA,DOBLE CESTA
ELECTRO MOVIL,ELECTRO MOVIL
EQUIPO DE SUCCION (VACTOR),EQUIPO DE SUCCION (VACTOR)
GRUA ARTICULADA (TIPO PITMAN),GRUA ARTICULADA (TIPO PITMAN)
GRUA DE PLATAFORMA,GRUA DE PLATAFORMA
GRUA DE REMOLQUE (GANCHO),GRUA DE REMOLQUE (GANCHO)
GRUA TELESCOPICA,GRUA TELESCOPICA
LANCHA,LANCHA
LAVADORES,LAVADORES
LOW BOY,LOW BOY
LUBRICADOR,LUBRICADOR
MAESTRANZA (TALLER MOVIL),MAESTRANZA (TALLER MOVIL)
MINI BUS (9 A 31 PUESTOS),MINI BUS (9 A 31 PUESTOS)
MONTACARGA,MONTACARGA
MOTO,MOTO
OFICINA MOVIL,OFICINA MOVIL
PANEL (CARGA),PANEL (CARGA)
PICK UP,PICK UP
PICK UP (CON EQUIPO CONTRA INCENDIOS),PICK UP (CON EQUIPO CONTRA INCENDIOS)
PLATAFORMA,PLATAFORMA
PUNTERO DE UBICACION DE FALLA DEL CABLE,PUNTERO DE UBICACION DE FALLA DEL CABLE
RUSTICO CHASIS CORTO,RUSTICO CHASIS CORTO
RUSTICO CHASIS LARGO,RUSTICO CHASIS LARGO
SEDAN,SEDAN
SEMIREMOLQUE,SEMIREMOLQUE
TRACTOR,TRACTOR
TRACTOR AGRICOLA,TRACTOR AGRICOLA
TRACTOR CORTA GRAMA,TRACTOR CORTA GRAMA
TRIMOTO,TRIMOTO
UNICESTA,UNICESTA
UNIMOG,UNIMOG
VAN (HASTA 8 PUESTOS),VAN (HASTA 8 PUESTOS)
ZORRA,ZORRA
